Subkey;Values
\Classes\*;"AlwaysShowExt: 0; ConflictPrompt: prop:System.ItemTypeText;System.Size;System.DateModified;System.DateCreated; ContentViewModeForBrowse: prop:~System.ItemNameDisplay;System.ItemTypeText;~System.LayoutPattern.PlaceHolder;~System.LayoutPattern.PlaceHolder;System.DateModified;System.Size; ContentViewModeForSearch: prop:~System.ItemNameDisplay;~System.ItemFolderPathDisplay;~System.LayoutPattern.PlaceHolder;System.ItemTypeText;System.DateModified;System.Size; ContentViewModeLayoutPatternForBrowse: delta; ContentViewModeLayoutPatternForSearch: delta; ExtendedTileInfo: prop:System.ItemTypeText;System.Size;System.DateModified;System.OfflineAvailability; FullDetails: prop:System.PropGroup.FileSystem;System.ItemNameDisplay;System.ItemTypeText;System.ItemFolderPathDisplay;System.Size;System.DateCreated;System.DateModified;System.FileAttributes;*System.StorageProviderState;*System.OfflineAvailability;*System.OfflineStatus; InfoTip: prop:System.ItemTypeText;System.Size;System.DateModified; NoRecentDocs: 0; NoStaticDefaultVerb: 0; PreviewDetails: prop:System.DateModified;System.Size;System.DateCreated;*System.StorageProviderState;*System.OfflineAvailability;*System.OfflineStatus;*System.SharedWith; PreviewTitle: prop:System.ItemNameDisplay;System.ItemTypeText; QuickTip: prop:System.ItemTypeText;System.Size;System.DateModified; SetDefaultsFor: prop:System.Author;System.Document.DateCreated; TileInfo: prop:System.ItemTypeText;System.Size;System.DateModified"
\Classes\.386\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.386;"(default): vxdfile; PerceivedType: system"
\Classes\.3fr\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {C7657C4A-9F68-40fa-A4DF-96BC08EB3551}
\Classes\.3fr\ShellEx;
\Classes\.3fr;"Content Type: image/3FR; PerceivedType: image"
\Classes\.3g2\OpenWithProgIds;WMP11.AssocFile.3G2: 0
\Classes\.3g2\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.3g2\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.3g2\ShellEx;
\Classes\.3g2;"(default): WMP11.AssocFile.3G2; Content Type: video/3gpp2; PerceivedType: video"
\Classes\.3ga;(default): VLC.3ga
\Classes\.3gp\OpenWithProgIds;WMP11.AssocFile.3GP: 0
\Classes\.3gp\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.3gp\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.3gp\ShellEx;
\Classes\.3gp;"(default): WMP11.AssocFile.3GP; Content Type: video/3gpp; PerceivedType: video"
\Classes\.3gp2\OpenWithProgIds;WMP11.AssocFile.3G2: 0
\Classes\.3gp2\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.3gp2\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.3gp2\ShellEx;
\Classes\.3gp2;"(default): WMP11.AssocFile.3G2; Content Type: video/3gpp2; PerceivedType: video"
\Classes\.3gpp\OpenWithProgIds;WMP11.AssocFile.3GP: 0
\Classes\.3gpp\ShellEx\{BB2E617C-0920-11D1-9A0B-00C04FC2D6C1};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.3gpp\ShellEx\{e357fccd-a995-4576-b01f-234630154e96};(default): {9DBD2C50-62AD-11D0-B806-00C04FD706EC}
\Classes\.3gpp\ShellEx;
\Classes\.3gpp;"(default): WMP11.AssocFile.3GP; Content Type: video/3gpp; PerceivedType: video"
\Classes\.3mf\shellex\{8895b1c6-b41f-4c1c-a562-0d564250836f};(default): {E64164EB-1AE0-4C50-BAEF-A413C2B3A4BC}
\Classes\.3mf\shellex\{e357fccd-a995-4576-b01f-234630154e96};(default): {E64164EB-1AE0-4C50-BAEF-A413C2B3A4BC}
\Classes\.3mf\shellex;
\Classes\.3mf;
\Classes\.5vw;(default): wireshark-capture-file
\Classes\.669;(default): VLC.669
\Classes\.7z\OpenWithProgids;ArchiveFolder: 0
\Classes\.7z\PersistentHandler;(default): {098f2470-bae0-11cd-b579-08002b30bfeb}
\Classes\.7z;"(default): ArchiveFolder; Content Type: application/x-compressed; PerceivedType: compressed"
\Classes\.a\PersistentHandler;(default): {5e941d80-bf96-11cd-b579-08002b30bfeb}
\Classes\.a;
\Classes\.a52;(default): VLC.a52
\Classes\.AAC\OpenWithProgIds;WMP11.AssocFile.ADTS: 0
\Classes\.AAC;"(default): WMP11.AssocFile.ADTS; Content Type: audio/vnd.dlna.adts; PerceivedType: audio"
\Classes\.aaui\Acrobat.aaui\ShellNew;
\Classes\.aaui\Acrobat.aaui;
\Classes\.aaui;"Content Type: application/vnd.adobe.acrobat.aaui+xml; (default): Acrobat.aaui"
\Classes\.ac3;"Content Type: audio/vnd.dolby.dd-raw; PerceivedType: audio"
\Classes\.accda;"(default): Access.ACCDAExtension.16; Content Type: application/msaccess.addin"
\Classes\.accdb\Access.Application.16\ShellNew;FileName: C:\Program Files\Microsoft Office\root\Office16\1033\ACCESS12.ACC
\Classes\.accdb\Access.Application.16;
\Classes\.accdb;"(default): Access.Application.16; Content Type: application/msaccess"
\Classes\.accdc;"(default): Access.ACCDCFile.16; Content Type: application/msaccess.cab"
\Classes\.accde;"(default): Access.ACCDEFile.16; Content Type: application/msaccess.exec"
\Classes\.accdr;"(default): Access.ACCDRFile.16; Content Type: application/msaccess.runtime"
\Classes\.accdt\ShellEx\PropertyHandler;(default): {E3956DCF-D1C7-4375-AAAA-22FF8191C479}
\Classes\.accdt\ShellEx\{BB2E617C-0920-11d1-9A0B-00C04FC2D6C1};(default): {C41662BB-1FA0-4CE0-8DC5-9B7F8279FF97}
\Classes\.accdt\ShellEx;
\Classes\.accdt;"(default): Access.ACCDTFile.16; Content Type: application/msaccess.template"
\Classes\.accdu;(default): Access.WizardUserDataFile.16
\Classes\.accdw;"(default): Access.WebApplicationReference.16; Content Type: application/msaccess.webapplication"
\Classes\.accft;"(default): Access.ACCFTFile.16; Content Type: application/msaccess.ftemplate"
\Classes\.accountpicture-ms;"(default): accountpicturefile; Content Type: application/windows-accountpicture"
\Classes\.acl;(default): ACLFile
\Classes\.acp;(default): wireshark-capture-file
\Classes\.acrobatsecuritysettings\OpenWithList\Acrobat.exe;(default): 0
\Classes\.acrobatsecuritysettings\OpenWithList\AcroRd32.exe;(default): 0
\Classes\.acrobatsecuritysettings\OpenWithList;
\Classes\.acrobatsecuritysettings\OpenWithProgids;"(default): 0; Acrobat.acrobatsecuritysettings: 0"
\Classes\.acrobatsecuritysettings;"(default): Acrobat.acrobatsecuritysettings; Content Type: application/vnd.adobe.acrobat-security-settings"
\Classes\.ade;"(default): Access.ADEFile.16; Content Type: application/msaccess"
