Subkey;Values
\Classes\AppID\{2A947841-0594-48CF-9C53-A08C95C22B55};"AccessPermission: 010014806400000070000000140000003000000002001c000100000011001400040000000101000000000010001000000200340002000000000018001f000000010200000000000f0200000001000000000014001f00000001010000000000010000000001010000000000050a00000001020000000000052000000021020000; LaunchPermission: 010014806400000070000000140000003000000002001c000100000011001400040000000101000000000010001000000200340002000000000018001f000000010200000000000f0200000001000000000014001f00000001010000000000010000000001010000000000050a00000001020000000000052000000021020000; LocalService: XblAuthManager"
\Classes\AppID\{2C256447-3F0D-4CBB-9D12-575BB20CDA0A};"(default): faultrep.dll; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{2C5BC43E-3369-4C33-AB0C-BE9469677AF4};"AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{2C941FD1-975B-59BE-A960-9A2A262853A5};"(default): FileSystemImage; DLLSurrogate: 0"
\Classes\AppID\{2EA38040-0B9C-4379-87FD-4D38BB892F37};"(default): WalletService; AccessPermission: 01001480e4000000f0000000140000003000000002001c000100000011001400040000000101000000000010001000000200b400050000000000380003000000010a00000000000f030000000004000083dc574ef165d1ed69c3aac163c402757dfbdceaa9b5774c259725addd4acdd100002400030000000105000000000005; LaunchPermission: 01001480e4000000f0000000140000003000000002001c000100000011001400040000000101000000000010002000000200b40005000000000038000b000000010a00000000000f030000000004000083dc574ef165d1ed69c3aac163c402757dfbdceaa9b5774c259725addd4acdd1000024000b0000000105000000000005; LocalService: WalletService"
\Classes\AppID\{2eb6d15c-5239-41cf-82fb-353d20b816cf};"(default): Windows Security Health Service; LocalService: SecurityHealthService; DllSurrogate: 0; LaunchPermission: 01001480bc000000cc000000140000003000000002001c0001000000110014000400000001010000000000100010000002008c0005000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014001f000000"
\Classes\AppID\{2ED83BAA-B2FD-43B1-99BF-E6149C622692};"(default): WaaSMedicSvc; AccessPermission: 010004807000000080000000000000001400000002005c00040000000000140007000000010100000000000100000000000014000700000001010000000000050a000000000014000300000001010000000000051200000000001800070000000102000000000005200000002002000001020000000000052000000020020000; LaunchPermission: 010004807000000080000000000000001400000002005c0004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000100000000000014001f00000001010000000000050400000001020000000000052000000020020000; LocalService: WaaSMedicSvc"
\Classes\AppID\{2F93C02D-77F9-46B4-95FB-8CBB81EEB62C};"(default): DevicesFlow; LaunchPermission: 010014806400000074000000140000001c00000002000800000000000200480003000000000014000b000000010100000000000504000000000014000b000000010100000000000512000000000018000b000000010200000000000f020000000100000001020000000000052000000020020000010200000000000520000000; RunAs: Interactive User"
\Classes\AppID\{2fd08a73-d1f1-43eb-b888-24c2496f95fd};"(default): ImmersiveShellBrokers; LaunchPermission: 01001480b0000000c0000000140000003000000002001c000100000011001400040000000101000000000010001000000200800004000000000014000b000000010100000000000504000000000014000b000000010100000000000512000000000018000b000000010200000000000f0200000001000000000038000b000000; RunAs: Interactive User"
\Classes\AppID\{304CE942-6E39-40D8-943A-B913C40C9CD4};"AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{30AD8C8E-AE85-42FA-B9E8-7E99E3DFBFC5};"(default): ShellServiceHostBrokerProvider; LaunchPermission: 01001480b0000000c0000000140000003000000002001c000100000011001400040000000101000000000010001000000200800004000000000014000b000000010100000000000504000000000014000b000000010100000000000512000000000018000b000000010200000000000f0200000001000000000038000b000000; RunAs: Interactive User"
\Classes\AppID\{30d49246-d217-465f-b00b-ac9ddd652eb7};"(default): Identity Store; DllSurrogate: 0"
\Classes\AppID\{31337EC7-5767-11CF-BEAB-00AA006C3606};"(default): AuthHost; LaunchPermission: 01000480740000008400000000000000140000000200600004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000018000b000000010200000000000f0200000001000000000014001f000000010100000000000504000000010200000000000520000000"
\Classes\AppID\{31575964-95F7-414B-85E4-0E9A93699E13};(default): ie_to_edge_bho
\Classes\AppID\{316CDED5-E4AE-4B15-9113-7055D84DCC97};"(default): ImmersiveShell; RunAs: Interactive User"
\Classes\AppID\{31942299-D9BD-43C2-BB59-77FBB102D590};LocalService: SmartByte Network Service x64
\Classes\AppID\{31b965c2-d4a3-4d8e-ac40-a76d466cd0b7};"(default): UiaManagerCrossMachineProxyAppId; LaunchPermission: 01000480440000005400000000000000140000000200300002000000000014000b000000010100000000000504000000000014000b0000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; RunAs: Interactive User"
\Classes\AppID\{338B40F9-9D68-4B53-A793-6B9AA0C5F63B};"(default): Delivery Optimization User; AccessPermission: 010004805c0000006c00000000000000140000000200480003000000000014000300000001010000000000050a00000000001400030000000101000000000005120000000000180003000000010200000000000520000000210200000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 010004806000000070000000000000001400000002004c0003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000018000b000000010200000000000520000000210200000102000000000005200000002002000001020000000000052000000020020000; RunAs: Interactive User"
\Classes\AppID\{33ADC7D5-BAF1-4661-9822-1FD23E63B39F};"(default): Language Components Installer Com Handler; LaunchPermission: 010014804c0000005c000000140000001c00000002000800000000000200300002000000000014000b000000010100000000000504000000000014000b0000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; RunAs: Interactive User"
\Classes\AppID\{34E76A18-223B-4E23-BEAD-F59358CC0A90};"(default): wpnservice; AccessPermission: 01000480580000006400000000000000140000000200440003000000000014000b00000001010000000000050b000000000014000b000000010100000000000512000000000014000b00000001010000000000051300000001010000000000050a00000001020000000000052000000020020000; LaunchPermission: 01000480580000006400000000000000140000000200440003000000000014000b00000001010000000000050b000000000014000b000000010100000000000512000000000014000b00000001010000000000051300000001010000000000050a00000001020000000000052000000020020000; LocalService: wpnservice"
\Classes\AppID\{354ff91b-5e49-4bdc-a8e6-1cb6c6877182};"AccessPermission: 01000480700000007c000000000000001400000002005c00040000000000140003000000010100000000000512000000000014000300000001010000000000051300000000001400030000000101000000000005040000000000180003000000010200000000000f020000000100000001010000000000050a00000001020000; AppIDFlags: 8; LaunchPermission: 01000480700000007c000000000000001400000002005c0004000000000014000b000000010100000000000512000000000014000b000000010100000000000513000000000014000b000000010100000000000504000000000018000b000000010200000000000f020000000100000001010000000000050a00000001020000; RunAs: Interactive User"
\Classes\AppID\{35b1d3bb-2d4e-4a7c-9af0-f2f677af7c30};LocalService: fdPHost
\Classes\AppID\{35BC523D-8BE9-496E-8257-026E8B4750FC};"(default): TrayAppIdentityResolver; RunAs: Interactive User"
\Classes\AppID\{36234D6F-D9B8-404B-91C9-736BD2EE3040};"(default): CoreDpuWapSvr; AccessPermission: 010014806400000074000000140000003000000002001c0001000000110014000400000001010000000000100010000002003400020000000000180003000000010200000000000f0200000001000000000014000300000001010000000000010000000001020000000000052000000020020000010200000000000520000000; LaunchPermission: 010014806400000074000000140000003000000002001c000100000011001400040000000101000000000010001000000200340002000000000018000b000000010200000000000f0200000001000000000014000b00000001010000000000010000000001020000000000052000000020020000010200000000000520000000"
\Classes\AppID\{362cc086-4d81-4824-bbb5-666d34b3197d};"(default): Windows Push Notification Platform; AppIDFlags: 520; LaunchPermission: 010014800401000014010000140000003000000002001c000100000011001400040000000101000000000010001000000200d40007000000000018001f00000001020000000000052000000020020000000014007f0000000101000000000005040000000000180061000000010200000000000f020000000100000000001400; RunAs: Interactive User"
\Classes\AppID\{36938566-B1AA-4E77-9B3F-730CF4E996AB};"(default): TabTip; LaunchPermission: 010014809c000000ac000000140000003000000002001c0001000000110014000400000001010000000000100010000002006c0003000000000018000b000000010200000000000f0200000001000000000038000b000000010a00000000000f0300000000040000ce4a9359b9cf0b7575c0f29bb2b4c298d446ddf9027a87ec; PreferredServerBitness: 2147483648; RunAs: Interactive User"
\Classes\AppID\{37096FBE-2F09-4FF6-8507-C6E4E1179839};"(default): Security Health Agent Host; DllSurrogate: \\?\C:\Windows\System32\SecurityHealth\1.0.2402.27001-0\SecurityHealthHost.exe; AppIDFlags: 8; LaunchPermission: 010014806400000074000000140000003000000002001c000100000011001400040000000101000000000010001000000200340002000000000018001f00000001020000000000052000000020020000000014001f00000001010000000000050400000001020000000000052000000020020000010200000000000520000000; AccessPermission: 01001480a8000000b8000000140000003000000002001c000100000011001400040000000101000000000010001000000200780004000000000014000300000001010000000000051200000000001800030000000102000000000005200000002002000000001400030000000101000000000005040000000000300003000000"
\Classes\AppID\{37399c92-dc3f-4b55-ae5b-811ee82398ad};"(default): AppServiceContainerBroker; LaunchPermission: 010014807c0000008c000000140000003000000002001c0001000000110014000400000001010000000000100010000002004c000300000000001800610000000102000000000005200000002002000000001400610000000101000000000005040000000000180061000000010200000000000f020000000100000001020000; RunAs: Interactive User"
\Classes\AppID\{375ff002-dd27-11d9-8f9c-0002b3988e81};LocalService: fdPHost
\Classes\AppID\{379001DE-7108-4A45-8A74-6CD0A9FBEF2C};"(default): Delivery Optimization; AccessPermission: 010004805c0000006c00000000000000140000000200480003000000000014000300000001010000000000050a00000000001400030000000101000000000005120000000000180003000000010200000000000520000000210200000102000000000005200000002002000001020000000000052000000020020000; LaunchPermission: 010004806000000070000000000000001400000002004c0003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000018000b000000010200000000000520000000210200000102000000000005200000002002000001020000000000052000000020020000; LocalService: dosvc"
\Classes\AppID\{37B73D7B-A976-43AE-97E4-BD4977B241F2};"(default): Microsoft Portable Workspace Launcher; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{38E441FB-3D16-422F-8750-B2DACEC5CEFC};"AccessPermission: 01001480b8000000c4000000140000003000000002001c000100000011001400040000000101000000000010001000000200880006000000000014000300000001010000000000051200000000001400030000000101000000000005130000000000140003000000010100000000000504000000000018000300000001020000; LaunchPermission: 01001480b8000000c4000000140000003000000002001c000100000011001400040000000101000000000010001000000200880006000000000014000b000000010100000000000512000000000014000b000000010100000000000513000000000014000b000000010100000000000504000000000018000b00000001020000; PreferredServerBitness: 2147483648; RunAs: Interactive User"
\Classes\AppID\{39214908-5362-44b4-97f4-1aa724d3e0da};"(default): MiracastTestRemoteCommandSender; AccessPermission: 010014808c0000009c000000140000003000000002001c0001000000110014000400000001010000000000100010000002005c0004000000000018000b000000010200000000000f0200000001000000000014000b000000010100000000000504000000000014000b000000010100000000000513000000000014000b000000; LaunchPermission: 010014808c0000009c000000140000003000000002001c0001000000110014000400000001010000000000100010000002005c0004000000000018000b000000010200000000000f0200000001000000000014000b000000010100000000000504000000000014000b000000010100000000000513000000000014000b000000; RunAs: nt authority\localservice"
\Classes\AppID\{3AAE9875-AF81-4221-9B60-8656412C7812};"AppIDFlags: 520; DllSurrogate: 0; RunAs: Interactive User"
\Classes\AppID\{3ad05575-8857-4850-9277-11b85bdb8e09};"AccessPermission: 010004805800000068000000000000001400000002004400030000000000140003000000010100000000000504000000000014000700000001010000000000050a00000000001400030000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0"
\Classes\AppID\{3C3F40BC-60EB-4567-B90C-480C87C21AC1};"(default): WorkspacePolicyProcessor; DllSurrogate: 0"
\Classes\AppID\{3E000D72-A845-4CD9-BD83-80C07C3B881F};"(default): CMLUAUTIL; AccessPermission: 01000480580000006800000000000000140000000200440003000000000014000300000001010000000000050a000000000014000300000001010000000000051200000000001400030000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 010004805c0000006c00000000000000140000000200480003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000014000b0000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{3E3C4A77-5842-4811-9B36-D7CD766C771C};DllSurrogate: 0
\Classes\AppID\{3e5ca495-8d6a-4d1f-ad99-177b426c8b8e};"(default): Microsoft Windows Remote Shell Host; LaunchPermission: 0100048098000000a400000000000000140000000200840006000000000014000b000000010100000000000100000000000314001f000000010100000000000512000000000314001f000000010100000000000513000000000314001f000000010100000000000514000000000318001f000000010200000000000520000000"
\Classes\AppID\{3E5FC7F9-9A51-4367-9063-A120244FBEC7};"(default): CMSTPLUA; AccessPermission: 01000480580000006800000000000000140000000200440003000000000014000300000001010000000000050a000000000014000300000001010000000000051200000000001400030000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 010004805c0000006c00000000000000140000000200480003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000014000b0000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{3eb3c877-1f16-487c-9050-104dbcd66683};"(default): WinInetCacheServer; AccessPermission: 01000480a4000000b400000000000000140000000200900006000000000014000300000001010000000000050400000000001400030000000101000000000005120000000000180003000000010200000000000f02000000010000000000180003000000010200000000000f0300000001000000000018000300000001020000; DllSurrogate: 0; ProcessMitigationPolicy: 05131101111111111001000000000000"
\Classes\AppID\{3eef301f-b596-4c0b-bd92-013beafce793};RunAs: Interactive User
\Classes\AppID\{3F4D7BB8-4F38-4526-8CD3-C44D68689C5F};"AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{3F5E4B87-C907-4f76-82E4-6FDF0CE90E25};"(default): Out Of Proc Mapi Handler; DllSurrogate: 0; PreferredServerBitness: 2"
\Classes\AppID\{3feb2f63-0eec-4b96-84ab-da1307e0117c};"(default): Microsoft Windows WSMan Provider Host; LaunchPermission: 0100048098000000a400000000000000140000000200840006000000000014000b000000010100000000000100000000000314001f000000010100000000000512000000000314001f000000010100000000000513000000000314001f000000010100000000000514000000000318001f000000010200000000000520000000"
\Classes\AppID\{40AEEAB6-8FDA-41e3-9A5F-8350D4CFCA91};(default): HTML Application
\Classes\AppID\{40AFA0B6-3B2F-4654-8C3F-161DE85CF80E};"(default): Connected User Store; DllSurrogate: 0"
\Classes\AppID\{412E0F20-6C5B-43EC-879F-DA444A416EAC};"(default): NaturalAuthentication; AccessPermission: 01000480440000005400000000000000140000000200300002000000000014000300000001010000000000051200000000001400030000000101000000000005130000000102000000000005200000002002000001020000000000052000000020020000; LocalService: NaturalAuthentication"
\Classes\AppID\{41928E27-7275-491C-A5A1-4FDC791BF609};"(default): Core Shell Broker Provider; LaunchPermission: 010014807800000088000000140000003000000002001c000100000011001400040000000101000000000010002000000200480003000000000014000b000000010100000000000504000000000014000b000000010100000000000512000000000018000b000000010200000000000f02000000010000000102000000000005; RunAs: Interactive User"
\Classes\AppID\{42C21DF5-FB58-4102-90E9-96A213DC7CE8};"(default): EntAppSvc; AccessPermission: 010004807000000080000000000000001400000002005c00040000000000140007000000010100000000000100000000000014000700000001010000000000050a000000000014000300000001010000000000051200000000001800070000000102000000000005200000002002000001020000000000052000000020020000; LaunchPermission: 010004807000000080000000000000001400000002005c0004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000100000000000014001f00000001010000000000050400000001020000000000052000000020020000; LocalService: EntAppSvc"
\Classes\AppID\{42CBFAA7-A4A7-47BB-B422-BD10E9D02700};"AccessPermission: 01001480dc000000ec000000140000003000000002001c000100000011001400040000000101000000000010001000000200ac0006000000000014000b00000001010000000000050b000000000014000b000000010100000000000512000000000018000b000000010200000000000520000000200200000000180003000000; AuthenticationLevel: 2; LaunchPermission: 01001480dc000000ec000000140000003000000002001c000100000011001400040000000101000000000010001000000200ac0006000000000014000b00000001010000000000050a000000000014000b00000001010000000000050b000000000014000b000000010100000000000512000000000018000b00000001020000; LocalService: DiagnosticsHub.StandardCollector.Service"
\Classes\AppID\{434A6274-C539-4E99-88FC-44206D942775};"(default): AccessibilityCplAdmin; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0"
\Classes\AppID\{44831FEC-DC51-4716-A7E1-E898FDF83C85};"(default): SPP External COM Object; LaunchPermission: 01000480440000005400000000000000140000000200300001000000000028000b000000010600000000000550000000f05b5807c3438c9ac78a72dd8f8cb4df4447e7f80102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{4545dea0-2dfc-4906-a728-6d986ba399a9};"(default): Thumbnail Extraction Host Class; RunAs: Interactive User"
\Classes\AppID\{45597c98-80f6-4549-84ff-752cf55e2d29};(default): Add to Windows Media Player Legacy list
\Classes\AppID\{45BA127D-10A8-46EA-8AB7-56EA9078943C};"(default): Application Activation Manager; AppIDFlags: 9; DllSurrogate: 0; RunAs: Interactive User"
\Classes\AppID\{4680B596-CF8C-44E1-A676-4AAA819E041F};"(default): NvXDSyncPlugin; AccessPermission: 010004807000000080000000000000001400000002005c00040000000000140003000000010100000000000504000000000014000700000001010000000000050a000000000014000300000001010000000000051200000000001800070000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{46B988E8-BEC2-401F-A1C5-16C694F26D3E};"(default): Set Network Location Elevated Virtual Factory; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0"
\Classes\AppID\{46C166AA-3108-11D4-9348-00C04F8EEB71};"AccessPermission: 01000480580000006800000000000000140000000200440003000000000014000300000001010000000000050a000000000014000300000001010000000000051200000000001400030000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 010004805c0000006c00000000000000140000000200480003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000014000b0000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{478B41E6-3257-4519-BDA8-E971F9843849};"(default): Radio Management Service; LaunchPermission: 010004807000000080000000000000001400000002005c0004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000100000000000014001f00000001010000000000050400000001020000000000052000000020020000; LocalService: RmSvc"
\Classes\AppID\{4839DDB7-58C2-48F5-8283-E1D1807D0D7D};"(default): ShellServiceHost; LaunchPermission: 01000480480100005801000000000000140000000200340108000000000018001f00000001020000000000052000000020020000000014001f00000001010000000000050400000009004c001f00000001010000000000050b00000061727478f82e000000570049004e003a002f002f00490053004d0055004c005400490053; RunAs: Interactive User"
\Classes\AppID\{48da6741-1bf0-4a44-8325-293086c79077};"(default): IASDataStoreComServer; AccessPermission: 01000480840000009400000000000000140000000200700004000000000018000700000001020000000000052000000020020000000014000700000001010000000000050a00000000001400070000000101000000000005120000000000280007000000010600000000000550000000a85c74249e8da2ab076a868346e22af0; ActivateAtStorage: 78; AppIDFlags: 2; AuthenticationLevel: 6; DllSurrogate: 0; LaunchPermission: 010004807000000080000000000000001400000002005c0003000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000028001f000000010600000000000550000000a85c74249e8da2ab076a868346e22af0b4fd83ba01020000000000052000000020020000; RunAs: NT Authority\NetworkService"
\Classes\AppID\{4963f89b-261e-4ffa-ac2e-71a7d5a17071};AccessPermission: 01000480ac000000bc00000000000000140000000200980005000000000014000700000001010000000000050a00000000001400030000000101000000000005120000000000180007000000010200000000000520000000200200000000180003000000010200000000000f02000000010000000000380003000000010a0000
\Classes\AppID\{49BD2028-1523-11D1-AD79-00C04FD8FDFF};(default): Microsoft WBEM Unsecured Apartment
\Classes\AppID\{49EBD8BE-1A92-4A86-A651-70AC565E0FEB};"(default): Telephony App Launcher; AccessPermission: 010004805c0000006c00000000000000140000000200480003000000000014000300000001010000000000050a00000000001400030000000101000000000005120000000000180003000000010200000000000520000000210200000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 010004806000000070000000000000001400000002004c0003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000018000b000000010200000000000520000000210200000102000000000005200000002002000001020000000000052000000020020000; RunAs: Interactive User"
\Classes\AppID\{49f171dd-b51a-40d3-9a6c-52d674cc729d};"(default): UIAutomationCrossBitnessHook64 Class; AppIDFlags: 2048; DllSurrogate: 0"
\Classes\AppID\{4A0F9AA8-A71E-4CC3-891B-76CAC67E67C0};LocalService: ALG
\Classes\AppID\{4A6B8BAD-9872-4525-A812-71A52367DC17};"(default): RASGCWLUA; AccessPermission: 01000480580000006800000000000000140000000200440003000000000014000300000001010000000000050a000000000014000300000001010000000000051200000000001400030000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 010004805c0000006c00000000000000140000000200480003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000014000b0000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{4BC67F23-D805-4384-BCA3-6F1EDFF50E2C};"(default): wercplsupport.dll; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{4D111E08-CBF7-4f12-A926-2C7920AF52FC};"(default): Shell Security Editor; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0"
\Classes\AppID\{4db9c793-c48d-449c-9754-46027ee45c94};"(default): Microsoft Volume Shadow Copy Service software provider; LocalService: swprv"
\Classes\AppID\{4E14FBA2-2E22-11D1-9964-00C04FBBB345};"(default): COM+ Event System; DllSurrogate: 0"
\Classes\AppID\{4EB61BAC-A3B6-4760-9581-655041EF4D69};"(default): ServiceModule; LocalService: gupdate; ServiceParameters: /comsvc"
\Classes\AppID\{4F0AC159-5804-4aa7-AE91-117D6E67BB9B};(default): upnpcont.exe
\Classes\AppID\{4f6bcd94-c2a5-42ce-8dbc-31e794be4630};"(default): Shell Computer Accounts; DllSurrogate: 0"
\Classes\AppID\{4FCDA643-B15B-41C6-84F8-5E447F6F6D25};"(default): WkspRT.exe; AccessPermission: 010004803000000040000000000000001400000002001c0001000000000014000300000001010000000000050a0000000102000000000005200000002002000001020000000000052000000020020000; AuthenticationLevel: 6; LaunchPermission: 010004805c0000006c00000000000000140000000200480003000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000014000b0000000101000000000005040000000102000000000005200000002002000001020000000000052000000020020000"
\Classes\AppID\{50a9ab2a-20f8-4d71-9f32-9fd305b49601};"(default): HomeGroup CPL Advanced Settings Writer; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{50d69d24-961d-4828-9d1c-5f4717f226d1};"(default): Microsoft Windows Font Folder; AccessPermission: 010004805800000068000000000000001400000002004400030000000000140003000000010100000000000504000000000014000700000001010000000000050a00000000001400030000000101000000000005120000000102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0"
\Classes\AppID\{50E1C3FD-EC35-490E-9CCF-C68F9AE91919};"(default): wuapihost; AccessPermission: 01001480e4000000f0000000140000003000000002001c000100000011001400040000000101000000000010002000000200b40005000000000014000300000001010000000000050400000000001400030000000101000000000005120000000000180003000000010200000000000520000000200200000000340003000000; AppIDFlags: 24; AuthenticationLevel: 6; LaunchPermission: 01001480e4000000f0000000140000003000000002001c000100000011001400040000000101000000000010002000000200b40005000000000014000b000000010100000000000504000000000014000b000000010100000000000512000000000018000b00000001020000000000052000000020020000000034000b000000; RunAs: Interactive User"
\Classes\AppID\{513D916F-2A8E-4F51-AEAB-0CBC76FB1AF8};"(default): acppage.dll; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{514B5E31-5596-422F-BE58-D804464683B5};"(default): %systemroot%\system32\intl.cpl; AccessPermission: 010004806000000070000000000000001400000002004c00030000000000140003000000010100000000000512000000000014000700000001010000000000050a0000000000140003000000010100000000000504000000cdcdcdcdcdcdcdcd0102000000000005200000002002000001020000000000052000000020020000; DllSurrogate: 0; LaunchPermission: 01000480780000008800000000000000140000000200640004000000000014001f000000010100000000000512000000000018001f00000001020000000000052000000020020000000014001f000000010100000000000504000000000014000b000000010100000000000512000000cdcdcdcdcdcdcdcd0102000000000005"
\Classes\AppID\{515980c3-57fe-4c1e-a561-730dd256ab98};"AppIDFlags: 1; RunAs: Interactive User"
